1816.HK,1133.HK,0914.HK,2600.HK,0358.HK,0390.HK,1186.HK,1800.HK,0688.HK,3333.HK,0960.HK,1813.HK,3900.HK,2007.HK,3383.HK,0315.HK,0762.HK,0728.HK,3618.HK,1288.HK,0998.HK,3328.HK,1988.HK,3988.HK,0939.HK,1398.HK,3968.HK,2318.HK,1336.HK,1339.HK,2601.HK,2328.HK,0966.HK,2628.HK,1299.HK,0257.HK,0371.HK,
13.1203145,24.49710759,15.8824856,281.3770788,91.43328756,9.259401243,8.137964458,7.646722683,7.072557956,6.546977972,7.14841594,3.828432672,22.98518708,8.5036044,14.45141601,15.37323747,39.39870641,13.35007994,5.307329341,5.315719116,5.21028075,5.967756925,5.985145277,5.446093785,5.564577107,5.431383603,7.106862249,10.62228402,17.62819099,8.333322422,18.46563219,9.524039459,9.07263724,37.42537751,30.52780229,20.29087497,19.99854556,
12.84660539,23.16901222,15.9188784,262.889479,38.64436424,9.050523767,8.047810901,7.293176191,6.631334157,6.377995969,6.752923064,3.748262664,23.17196455,8.068304381,14.17009569,15.49447752,37.61055334,12.88010896,5.232577938,5.158301067,5.112196215,5.671593177,5.807544721,5.415427813,5.451815148,5.384592333,6.955944278,10.59638361,17.23940938,6.103904632,12.63641931,9.368563633,9.07263724,36.79907491,29.66484487,19.41121276,19.41676969,
13.41011749,22.95651016,16.41854645,281.2749942,40.29257477,9.516802086,8.391055949,7.645473127,7.311557588,6.711959643,6.974818123,3.927873836,24.84832265,8.316055474,14.56293207,15.66421358,39.0726361,13.43365778,5.356534512,5.416730915,5.226490881,5.976021372,5.916390188,5.68189671,5.731137146,5.659815624,7.280603633,11.0325642,10.74315449,6.354551159,13.31243607,8.250750086,9.735119415,38.27625425,30.23040394,21.22918133,20.94393135,
12.64886942,21.21302571,13.16810875,273.7821514,38.96791148,9.163170266,8.376389889,7.402080713,7.058516433,6.436873657,7.078725434,3.732604338,22.40396737,7.898614425,13.94347417,15.22774942,24.53892746,14.14658051,5.131254811,5.198355664,5.032381811,5.825358374,5.715589807,5.454963407,5.573639694,5.483035752,7.232060705,10.66522124,9.763299929,5.983140104,12.28314533,7.86822964,8.960352126,13.34382458,29.44131968,21.24776877,19.05315977,
12.95190225,21.11574588,13.5380166,271.4073208,39.20225671,9.520234249,8.160218518,7.890000631,6.778839367,6.81144265,6.797199595,3.699148738,21.38494631,7.440069738,10.14144397,15.83394964,24.65841163,14.19133509,4.777234708,4.921973469,4.915897474,5.500101696,5.597470635,5.321593287,5.413808516,5.518166843,6.903979109,10.26275099,9.917828863,5.991383339,12.28372485,7.457713604,8.904209569,13.36260289,28.52073732,21.26927461,18.36230092,
13.36868768,21.67379599,12.51466483,268.9477794,39.50832825,9.953567065,8.70932056,8.206739496,7.191695988,6.905524126,7.062864199,4.05692984,22.52790296,7.545619264,11.41128553,16.34315782,25.25458327,14.43876672,4.896416439,4.864640181,4.993603982,5.421938668,5.639776097,5.372797765,5.383801268,5.473227098,6.918879256,10.48399194,10.11502473,5.978898839,12.32391475,7.581932779,9.184922355,13.12509265,28.35931153,21.7639089,18.54410588,
13.600721,22.26186167,13.13432181,265.222908,40.57945556,10.11407714,8.749835688,8.214435853,7.138424166,6.918559136,6.280800245,3.81760412,21.19988155,6.816761093,11.14361763,16.60988591,22.48152279,13.59707072,4.729994436,4.739000418,5.015976767,5.413426936,5.674833469,5.277344014,5.309926772,5.321726849,6.735358767,10.97796559,9.445522236,5.977603911,12.63267427,7.487101926,9.375807049,12.97004719,27.63077942,19.22621992,18.72591084,
12.70261455,21.67309246,12.90627153,263.2572385,39.50704581,9.402983331,8.273585964,7.715487536,6.925336878,6.508305376,6.133635415,3.486653547,20.36176915,6.718207629,10.78850157,16.60988591,21.989121,13.57269264,4.487339293,4.582028465,4.856635263,5.116848075,5.558641934,5.09231258,5.037201848,4.993739609,6.25241385,10.35136694,8.823127475,5.624825044,12.19194695,7.115838027,8.645953806,12.38387074,27.58012396,17.91436375,16.98058323,
12.66800913,21.43393192,12.23958481,236.0971703,38.1963821,9.425787158,8.077340199,7.414669574,6.792157322,5.866711934,5.916004787,3.499023843,19.57485339,6.357868172,10.20736146,16.75537397,22.25210076,13.19041799,4.367797651,4.460001854,4.775187489,4.969871656,5.442585461,4.954196546,4.855407333,4.880087928,6.060147378,10.18252437,8.519754632,5.53520344,11.98378693,6.980307641,8.533668692,12.32225526,26.89910196,18.02189294,17.1260272,
12.57548925,21.4994423,12.22073164,242.2336757,40.66807888,9.643502385,8.32572175,7.546173795,6.965290744,6.021851149,6.164084125,3.607566395,19.90004708,6.719022345,10.68356176,16.75537397,21.84150743,13.26789799,4.415043376,4.48619973,4.8228418,4.960830724,5.501623251,4.983297302,5.109339857,4.908753373,6.242629853,10.31307048,8.694678014,5.642451464,12.12016926,7.149819521,8.645953806,12.42267787,27.45927076,18.60255059,16.6533343,
12.48847429,21.42029134,12.15360534,254.1268277,41.65661924,9.597216097,8.534508639,7.737113112,6.872065056,5.864299252,6.086090313,3.416229965,20.57066345,6.529332546,10.54217936,17.04635007,21.99251227,12.66732926,4.412825404,4.494936074,4.792947263,4.913029029,5.227566835,4.977349642,5.091058316,4.862295363,6.350448081,10.37567724,8.899292671,5.690879469,12.58456213,7.280797574,8.747010409,12.41877279,26.90950901,17.87135207,16.14428042,
